,StationID,Longitude,Latitude,Height,Remark
12665,8576139,8.668387,47.385249,460,"Volketswil, In der Höh"
12673,8576152,8.584347,47.452911,447,"Kloten, Kirchgasse"
12674,8576153,8.592055,47.451188,447,"Kloten, Rankstrasse"
12675,8576154,8.597738,47.449089,447,"Kloten, Oberfeld"
12676,8576155,8.60325,47.447685,447,"Kloten, Grubenstrasse"
12677,8576158,8.620484,47.445099,455,"Bassersdorf, Talgüetli"
12678,8576159,8.628763000000001,47.442945,455,"Bassersdorf, Schmitte"
12679,8576160,8.628127000000001,47.443582,455,"Bassersdorf, Löwen"
12680,8576161,8.629068,47.443554,455,"Bassersdorf, Gemeindehaus"
12698,8576182,8.560994,47.350415999999996,408,"Zürich Tiefenbrunnen, Bahnhof"
12699,8576183,8.567319,47.342797999999995,415,"Zollikon, Seestrasse"
12700,8576184,8.569778999999999,47.337763,415,"Zollikon, Bahnhof"
12701,8576185,8.57597,47.340752,415,"Zollikon, Gemeindehaus"
12702,8576186,8.581522,47.339852,415,"Zollikon, Höhestrasse"
12703,8576187,8.583264,47.343323999999996,415,"Zollikon, Allmend"
12704,8576188,8.585878,47.3449,415,"Zollikon, Schützenstrasse"
12705,8576189,8.588489,47.345701,415,"Zollikon, Rebwiesstrasse"
12706,8576193,8.545113,47.367093,408,"Zürich, Bellevue"
12707,8576194,8.550228,47.357797,415,"Zürich, Elektrowatt"
12708,8576195,8.547647,47.365414,415,"Zürich, Opernhaus"
12709,8576196,8.549471,47.36339,415,"Zürich, Kreuzstrasse"
12710,8576197,8.552059,47.360514,415,"Zürich, Feldeggstrasse"
12711,8576198,8.554203999999999,47.357991999999996,415,"Zürich, Höschgasse"
12712,8576199,8.556898,47.355169000000004,415,"Zürich, Fröhlichstrasse"
12713,8576200,8.559577,47.352282,408,"Zürich, Wildbachstrasse"
12714,8576201,8.566154,47.345921999999995,415,"Zollikon, Bahnübergang"
12715,8576202,8.56963,47.343207,415,"Zollikon, Felbenstrasse"
12716,8576203,8.572614999999999,47.340434,415,"Zollikon, Dufourplatz"
12717,8576204,8.575085000000001,47.336479,415,"Zollikon, Beugi"
12718,8576205,8.577515,47.335034,415,"Zollikon, Goldhaldenplatz"
12719,8576206,8.579655,47.331756,415,"Küsnacht ZH, Bühlstrasse"
12720,8576207,8.580461,47.329229999999995,415,"Küsnacht ZH, Goldbacherstrasse"
12721,8576208,8.582303,47.326288,415,"Küsnacht ZH, Boglerenstrasse"
12722,8576209,8.582576,47.322975,415,"Küsnacht ZH, Schiedhaldenstr."
12723,8576210,8.586827,47.321366999999995,415,"Küsnacht ZH, Schiedhaldensteig"
12724,8576211,8.58985,47.321652,415,"Küsnacht ZH, Schübel"
12725,8576214,8.602313,47.327788,585,"Itschnach, Dorf"
12726,8576215,8.606084,47.329027,585,"Itschnach, Fallacher"
12727,8576216,8.58451,47.319403,415,"Küsnacht ZH, Oberwacht"
12728,8576217,8.585554,47.3169,415,"Küsnacht ZH, Ob. Heslibachstr."
12729,8576218,8.589707,47.314421,415,"Küsnacht ZH, Bergstrasse"
12730,8576219,8.592221,47.313839,415,"Küsnacht ZH, Himmelistrasse"
12731,8576220,8.593202,47.315771999999996,415,"Küsnacht ZH, Hesligenstrasse"
12732,8576221,8.595278,47.314546,415,"Küsnacht ZH, Ränkestrasse"
12733,8576222,8.597237,47.315812,415,"Küsnacht ZH, Allmend"
12734,8576223,8.580869,47.319241,415,"Küsnacht ZH, Bahnhof"
12735,8576224,8.614773,47.332474,659,"Zumikon, Gössikon"
12736,8576225,8.618188,47.336109,651,"Zumikon, Waltikon"
12737,8576226,8.622922,47.332976,659,"Zumikon, Dorfzentrum"
12751,8576240,8.499375,47.402009,408,"Zürich, Meierhofplatz"
12752,8576241,8.483903999999999,47.412296000000005,408,"Zürich, Heizenholz"
12753,8576242,8.483169,47.417384999999996,408,"Zürich, Grünwald"
12754,8576243,8.471961,47.425788,600,"Regensdorf, Lettenhau"
12755,8576244,8.469255,47.429077,600,"Regensdorf, Obstgarten"
12756,8576245,8.466097999999999,47.431012,600,"Regensdorf, Zentrum"
12757,8576246,8.471074,47.431985,600,"Regensdorf, Ostring"
12758,8576248,8.477243,47.438999,442,"Watt, Geerenweg"
12759,8576249,8.480739,47.442223999999996,440,"Watt, Dorf"
